File,p1_x,p1_y,p2_x,p2_y,Dist_px,Width_cm
antes_20250617_192743_1.jpg,54,40,57,176,136.03,2.60
antes_20250617_192743_1.jpg,85,40,87,176,136.01,2.60
antes_20250617_192743_1.jpg,115,43,120,174,131.10,2.50
depois_20250617_193445_5.jpg,47,38,47,187,149.00,2.84
depois_20250617_193445_5.jpg,82,36,84,193,157.01,3.00
depois_20250617_193445_5.jpg,118,38,117,195,157.00,3.00
depois_20250617_193445_5.jpg,144,43,146,195,152.01,2.90
