File,p1_x,p1_y,p2_x,p2_y,Dist_px,Width_cm
antes_20250617_192743_1.jpg,78,37,80,175,138.01,2.64
antes_20250617_192743_1.jpg,73,37,75,175,138.01,2.64
antes_20250617_192743_1.jpg,72,37,72,177,140.00,2.68
depois_20250617_193445_5.jpg,94,34,94,193,159.00,3.05
